variable,description,unit,source,construction
iso3,ISO3 country code,,,
year,Calendar year,,,
country,Country name,,,
v2x_clphy,V-Dem physical violence index (higher = more respect),index,V-Dem v16,as published
v2x_clphy_codelow,v2x_clphy lower bound,index,V-Dem v16,as published
v2x_clphy_codehigh,v2x_clphy upper bound,index,V-Dem v16,as published
v2csreprss,V-Dem CSO repression (higher = less repression; measurement-model scale),index,V-Dem v16,as published
v2x_freexp_altinf,V-Dem freedom of expression and alternative information index,index,V-Dem v16,as published
v2cagenmob,V-Dem mass mobilization (higher = more),index,V-Dem v16,as published
v2cademmob,V-Dem mobilization for democracy,index,V-Dem v16,as published
v2caautmob,V-Dem mobilization for autocracy,index,V-Dem v16,as published
v2caassemb,V-Dem freedom of peaceful assembly (higher = more respected),index,V-Dem v16,as published
v2clkill,V-Dem freedom from political killings,index,V-Dem v16,as published
v2cltort,V-Dem freedom from torture,index,V-Dem v16,as published
v2x_regime,"V-Dem Regimes of the World (0 closed aut., 1 electoral aut., 2 electoral dem., 3 liberal dem.)",index,V-Dem v16,as published
v2x_polyarchy,V-Dem electoral democracy index,index,V-Dem v16,as published
v2x_libdem,V-Dem liberal democracy index,index,V-Dem v16,as published
v2x_civlib,V-Dem civil liberties index,index,V-Dem v16,as published
v2x_clpol,V-Dem political civil liberties,index,V-Dem v16,as published
v2x_clpriv,V-Dem private civil liberties,index,V-Dem v16,as published
e_pt_coup,"Number of successful coups (Powell & Thyne, via V-Dem)",index,V-Dem v16,as published
e_pt_coup_attempts,"Number of coup attempts (Powell & Thyne, via V-Dem)",index,V-Dem v16,as published
v2regimpgroup,Regime most important support group (V-Dem code),index,V-Dem v16,as published
v2csantimv,V-Dem anti-system movements (higher = stronger),index,V-Dem v16,as published
e_civil_war,Civil war (V-Dem historical),index,V-Dem v16,as published
v2x_ex_military,Military dimension of executive,index,V-Dem v16,as published
v2x_corr,V-Dem political corruption index,index,V-Dem v16,as published
rep_phys,Physical repression = 1 - v2x_clphy,0-1,V-Dem v16,reversed index
rep_cso,CSO repression = -v2csreprss,std. scale,V-Dem v16,sign reversed
rep_expr,Expression repression = 1 - v2x_freexp_altinf,0-1,V-Dem v16,reversed index
mob,Mass mobilization (V-Dem v2cagenmob),std. scale,V-Dem v16,as published
dem,"Democracy = 1 if v2x_regime in {2,3}",0/1,V-Dem v16,
coup,Successful coup in year,0/1,Powell & Thyne via V-Dem e_pt_coup,
coup_att,Coup attempt in year (successful or not),0/1,Powell & Thyne via V-Dem,
mil_support,Regime's main support group is the military,0/1,V-Dem v2regimpgroup,code 5
labor_support,Regime's main support group is urban or rural working class,0/1,V-Dem v2regimpgroup,"codes 9, 11"
aut_ep,Inside an autocratization episode (ERT),0/1,ERT v16,
aut_onset,First year of an autocratization episode,0/1,ERT v16,year == aut_ep_start_year
aut_ep_outcome,ERT autocratization outcome code,code,ERT v16,
dem_ep,Inside a democratization episode (ERT),0/1,ERT v16,
dem_onset,First year of a democratization episode,0/1,ERT v16,
reg_type,"ERT regime type (0 autocracy, 1 democracy)",0/1,ERT v16,
pwt_rnna,PWT 10.01 rnna,"PWT units (mil. 2017 US$, millions of persons, shares)",PWT 10.01,as published
pwt_cn,PWT 10.01 cn,"PWT units (mil. 2017 US$, millions of persons, shares)",PWT 10.01,as published
pwt_emp,PWT 10.01 emp,"PWT units (mil. 2017 US$, millions of persons, shares)",PWT 10.01,as published
pwt_labsh,PWT 10.01 labsh,"PWT units (mil. 2017 US$, millions of persons, shares)",PWT 10.01,as published
pwt_rgdpna,PWT 10.01 rgdpna,"PWT units (mil. 2017 US$, millions of persons, shares)",PWT 10.01,as published
pwt_pop,PWT 10.01 pop,"PWT units (mil. 2017 US$, millions of persons, shares)",PWT 10.01,as published
pwt_hc,PWT 10.01 hc,"PWT units (mil. 2017 US$, millions of persons, shares)",PWT 10.01,as published
pwt_delta,PWT 10.01 delta,"PWT units (mil. 2017 US$, millions of persons, shares)",PWT 10.01,as published
pwt_csh_i,PWT 10.01 csh_i,"PWT units (mil. 2017 US$, millions of persons, shares)",PWT 10.01,as published
pwt_rtfpna,PWT 10.01 rtfpna,"PWT units (mil. 2017 US$, millions of persons, shares)",PWT 10.01,as published
gdppc_const2015,"GDP per capita, constant 2015 US$",,"WDI (World Bank API, pull 2026-09)",as published
gdp_const2015,"GDP, constant 2015 US$",,"WDI (World Bank API, pull 2026-09)",as published
pop_wdi,Population,,"WDI (World Bank API, pull 2026-09)",as published
