iso3,year,country,v2x_clphy,v2x_clphy_codelow,v2x_clphy_codehigh,v2csreprss,v2x_freexp_altinf,v2cagenmob,v2cademmob,v2caautmob,v2caassemb,v2clkill,v2cltort,v2x_regime,v2x_polyarchy,v2x_libdem,v2x_civlib,v2x_clpol,v2x_clpriv,e_pt_coup,e_pt_coup_attempts,v2regimpgroup,v2csantimv,e_civil_war,v2x_ex_military,v2x_corr,rep_phys,rep_cso,rep_expr,mob,dem,coup,coup_att,mil_support,labor_support,aut_ep,aut_onset,aut_ep_start_year,aut_ep_outcome,dem_ep,dem_onset,reg_type,pwt_rnna,pwt_cn,pwt_emp,pwt_labsh,pwt_rgdpna,pwt_pop,pwt_hc,pwt_delta,pwt_csh_i,pwt_rtfpna,armed_forces,exp_agri_share,exp_fuel_share,exp_metal_share,fdi_in_gdp,gdp_const2015,gdppc_const2015,gfcf_const2015,inflation,labor_force,manuf_va_share,milexp_gdp,pop_wdi,resource_rents,tax_rev_wdi,trade_open,unemp,urban_share,ilo_labsh,ilo_emp,routine_share,elementary_share,highskill_share,occ_cls,manuf_emp_share,socexp_gdp,socexp_gdp_gg,socprot_gdp,socprot_gdp_gg,tax_gdp,tax_gdp_gg,tax_sc_gdp,tax_sc_gdp_gg,tax_ab_gdp,gini_disp,gini_mkt,abs_red,rel_red,gini_disp_se,gini_mkt_se,PTS_A,PTS_H,PTS_S,pts_mean,fh_cl,fh_pr,mmp_protests,mmp_repressed,mmp_participants,mmp_violent,mmp_repress_share,rob_imp_real,rob_imp_missing,rob_stock_real,robots_pw,rob_imp_pw,donor_rob_pw,donor_imp_pw,p_energy,p_metals,p_agri,K,L,labsh,k_extended,k,kl_level,tax_any,labsh_any,ln_sk_sl,rep_phys_z,rep_cso_z,rep_expr_z,rep_index,high_rep,rep_tercile,mob_l5,threat_mob,antisys_l1,armed_pc,coldwar,decade,w_fuel,w_metal,w_agri,z_commodity,w_manuf,w_manuf_va,w_manuf_use,z_robot,ln_gdppc,ln_robots_pw,ln_mmp_protests,in_panel
ARG,1960,Argentina,0.672,0.601,0.765,1.172,0.744,1.594,0.347,0.094,-0.814,0.709,0.647,1.0,0.492,0.351,0.744,0.739,0.834,0.0,2.0,5.0,-0.938,0.0,0.3,0.232,0.32799999999999996,-1.172,0.256,1.594,0.0,0.0,1.0,1.0,0.0,0,0.0,,0,0,0.0,0.0,569324.0625,103569.9140625,7.64299201965332,0.4410236179828644,270342.0,20.545673572174604,1.9538657665252686,0.03030647523701191,0.14898815751075745,1.1916937828063965,,,,,,150797810295.884,7397.10965495682,24147333336.9472,,,,1.55,20386045.0,,,15.2080960873797,,71.7238893802647,,,,,,,,,,,,,,,,9.326465712334684,,,,,,,,,,,,,,,,,,,,,,,,,11.2,66.2,113.2,569324.0625,7.64299201965332,0.4410236179828644,0.0,11.218415928742647,74489.68428019164,9.326465712334684,0.4410236179828644,0.23700879231645228,-0.2932674341791903,-0.35288726980204677,-0.3786058181214858,-0.34158684070090767,1.0,,,,,,1.0,1960,0.10397062391508417,0.012874312407457001,0.03296983725077318,0.46108145007847473,0.15788622868684796,0.178138768799922,0.15788622868684796,,8.908844615725227,,,0
ARG,1961,Argentina,0.672,0.601,0.765,1.172,0.744,2.099,0.347,0.094,-0.814,0.709,0.647,1.0,0.494,0.36,0.744,0.739,0.834,0.0,1.0,5.0,-0.938,0.0,0.3,0.232,0.32799999999999996,-1.172,0.256,2.099,0.0,0.0,1.0,1.0,0.0,0,0.0,1962.0,0,0,0.0,0.0,612492.0625,111476.453125,7.739992141723633,0.4410236179828644,279138.9375,20.87910585996836,1.9649277925491333,0.031384631991386414,0.15116249024868011,1.1673091650009155,,,,,,158982878499.524,7670.59545571641,27568193217.4366,,,,2.14,20726276.0,,,11.9898923109727,,72.4354744941627,,,,,,,,,,,,,,,,14.02511643357512,36.3,37.8,,,2.65,3.43,,,,,,,,,,,,,,,,,,,10.7,63.4,111.5,612492.0625,7.739992141723633,0.4410236179828644,0.0,11.27889058981344,79133.4217509429,14.02511643357512,0.4410236179828644,0.23700879231645228,-0.2932674341791903,-0.35288726980204677,-0.3786058181214858,-0.34158684070090767,1.0,,,,-0.938,,1.0,1960,0.10397062391508417,0.012874312407457001,0.03296983725077318,0.45527783826503065,0.15788622868684796,0.178138768799922,0.15788622868684796,,8.945149525730752,,,0
ARG,1962,Argentina,0.642,0.55,0.719,1.172,0.675,2.099,1.249,0.094,-0.575,0.482,0.647,1.0,0.274,0.205,0.707,0.669,0.825,1.0,3.0,5.0,-0.938,0.0,0.8,0.232,0.358,-1.172,0.32499999999999996,2.099,0.0,1.0,1.0,1.0,0.0,1,1.0,1962.0,5,0,0.0,0.0,645182.1875,117350.7421875,7.838223457336426,0.4410236179828644,280924.875,21.211169541973426,1.9760525226593018,0.0322289802134037,0.1315944343805313,1.130045771598816,,23.0882319947879,1.08084667297785,0.813335466392559,,157628310158.567,7480.27172420174,25354592011.5216,,,,2.66,21072538.0,,,14.0755256495637,,73.1728787774807,,,,,,,,,,,,,,,,10.83527362490873,36.1,37.8,,,2.53,3.32,,,,,,,,,,,,,,,,,,,10.3,61.4,108.1,645182.1875,7.838223457336426,0.4410236179828644,0.0,11.318275808278395,82312.29831756352,10.83527362490873,0.4410236179828644,0.23700879231645228,-0.20038177793844286,-0.35288726980204677,-0.1380779048380037,-0.23044898419283108,1.0,,,,-0.938,,1.0,1960,0.10397062391508417,0.012874312407457001,0.03296983725077318,0.4498828944223859,0.15788622868684796,0.178138768799922,0.15788622868684796,,8.92002439707366,,,0
ARG,1963,Argentina,0.643,0.557,0.726,0.321,0.766,1.589,1.249,0.094,-0.575,0.239,0.886,1.0,0.31,0.226,0.733,0.727,0.84,0.0,1.0,5.0,-0.938,0.0,0.3,0.142,0.357,-0.321,0.23399999999999999,1.589,0.0,0.0,1.0,1.0,0.0,0,0.0,,0,1,1.0,0.0,664245.625,121068.765625,7.937701225280762,0.4410236179828644,270609.3125,21.542655368201046,1.9872403144836426,0.03247095271945,0.11324142664670944,1.0642331838607788,,20.4592700397019,0.822615007036755,0.8338185685096,,149261089202.812,6967.75019555221,21933732074.5324,,,,1.68,21421705.0,,,15.7809062353749,,73.9273735418668,,,,,,,,,,,,,,,,10.55978931573247,36.0,37.7,,,2.39,3.24,,,,,,,,,,,,,,,,,,,10.3,63.0,117.8,664245.625,7.937701225280762,0.4410236179828644,0.0,11.334783562110811,83682.36673918212,10.55978931573247,0.4410236179828644,0.23700879231645228,-0.20347796647980113,0.20927195469877755,-0.45529587742926286,-0.14983396307009547,1.0,,1.930666666666667,,-0.938,,1.0,1960,0.10397062391508417,0.012874312407457001,0.03296983725077318,0.4530472338140341,0.15788622868684796,0.178138768799922,0.15788622868684796,,8.849047667653224,,,0
ARG,1964,Argentina,0.744,0.674,0.825,1.172,0.787,1.589,0.406,0.094,-0.575,1.077,0.886,2.0,0.528,0.423,0.785,0.775,0.855,0.0,0.0,5.0,-0.938,0.0,0.3,0.124,0.256,-1.172,0.21299999999999997,1.589,1.0,0.0,0.0,1.0,0.0,0,0.0,,0,1,0.0,1.0,696996.6875,127121.1953125,8.03844165802002,0.4410236179828644,291641.65625,21.87435979118658,1.9984914064407349,0.03257680684328079,0.13977935910224915,1.106825351715088,,14.5168369254243,0.432268863276612,0.500304019044815,,164381681831.918,7551.02490778789,24147333336.9472,,,,1.15,21769453.0,,,11.1274296795488,,74.6879628669135,,,,,,,,,,,,,,,,10.43823272781687,35.9,37.7,,,2.34,3.19,,,,,,,,,,,,,,,,,,,9.8,73.6,116.2,696996.6875,8.03844165802002,0.4410236179828644,0.0,11.37030069644531,86707.93633298323,10.43823272781687,0.4410236179828644,0.23700879231645228,-0.5161930091569839,-0.35288726980204677,-0.5285000249503228,-0.4658601013031178,1.0,,1.84525,,-0.938,,1.0,1960,0.10397062391508417,0.012874312407457001,0.03296983725077318,0.4494247101986245,0.15788622868684796,0.178138768799922,0.15788622868684796,,8.929438582405837,,,0
ARG,1965,Argentina,0.744,0.674,0.825,0.033,0.787,2.082,0.406,0.094,-0.575,1.077,0.886,2.0,0.527,0.427,0.778,0.75,0.855,0.0,0.0,5.0,-0.938,0.0,0.3,0.124,0.256,-0.033,0.21299999999999997,2.082,1.0,0.0,0.0,1.0,0.0,0,0.0,1966.0,0,0,0.0,1.0,730044.9375,133092.796875,8.140460014343262,0.4410236179828644,318469.59375,22.207077362624023,2.0098061561584473,0.03283848240971565,0.12880639731884003,1.1679352521896362,,11.8245370201329,0.615568720804148,0.268986496528575,,181755894112.433,8219.55155637229,25354592011.5216,,,41.184160179361,1.07,22112629.0,,,10.3764574099485,,75.4436508322132,,,,,,,,,,,,,,,,10.72032863118482,35.9,37.7,,,2.26,3.11,,,,,,,,,,,,,,,,,,,9.7,82.6,112.5,730044.9375,8.140460014343262,0.4410236179828644,0.0,11.40401467821288,89681.0421295211,10.72032863118482,0.4410236179828644,0.23700879231645228,-0.5161930091569839,0.39952090494112463,-0.5285000249503228,-0.21505737638872735,1.0,,1.794,,-0.938,,1.0,1960,0.10397062391508417,0.012874312407457001,0.03296983725077318,0.44877668458729525,0.15788622868684796,0.178138768799922,0.15788622868684796,,9.014270931376185,,,0
ARG,1966,Argentina,0.542,0.464,0.632,-0.926,0.521,2.082,1.263,0.094,-0.575,0.246,0.099,1.0,0.228,0.201,0.569,0.318,0.855,1.0,1.0,5.0,-0.938,0.0,0.9,0.195,0.45799999999999996,0.926,0.479,2.082,0.0,1.0,1.0,1.0,0.0,1,1.0,1966.0,1,0,0.0,0.0,758551.0625,138348.3125,8.240280151367188,0.4410236179828644,319221.28125,22.534461173168314,2.0227134227752686,0.03296208009123802,0.12099049985408783,1.137580394744873,,14.7022024732423,0.878622056994743,0.286643986534945,,180556802912.311,8041.22487411475,25354592011.5216,,,41.0085848893582,1.168,22453893.0,,,11.6426054171411,,76.1834415173586,,,,,,,,,,,,,,,,11.14961136783514,35.9,37.7,,,2.25,3.07,,,,,,,,,,,,,,,,,,,9.1,84.1,112.7,758551.0625,8.240280151367188,0.4410236179828644,0.0,11.4301310535782,92054.03803827529,11.14961136783514,0.4410236179828644,0.23700879231645228,0.10923707619738164,1.0330234857828293,0.39875251031643516,0.513671024098882,1.0,,1.8916,,-0.938,,1.0,1960,0.10397062391508417,0.012874312407457001,0.03296983725077318,0.4424282657506875,0.15788622868684796,0.178138768799922,0.15788622868684796,,8.992336698096016,,,0
ARG,1967,Argentina,0.246,0.156,0.31,-1.116,0.244,2.082,1.263,0.094,-0.575,-1.232,-0.724,0.0,0.102,0.089,0.396,0.144,0.791,0.0,0.0,5.0,-0.938,0.0,0.9,0.43,0.754,1.116,0.756,2.082,0.0,0.0,0.0,1.0,0.0,1,0.0,1966.0,1,0,0.0,0.0,788108.6875,143743.140625,8.341324806213379,0.4410236179828644,328118.75,22.85598088807635,2.035703420639038,0.03293970972299576,0.11968743801116943,1.136767864227295,,14.0403052316791,0.52525865800809,0.468486610902632,,186320169964.576,8172.27456469042,26562075937.209,,,37.8240272440343,1.4,22799059.0,,,12.4926603729179,,76.8963390019422,,,,,,,,,,,,,,,,13.61056018623562,35.8,37.8,,,2.22,3.01,,,,,,,,,,,,,,,,,,,8.9,73.3,111.2,788108.6875,8.341324806213379,0.4410236179828644,0.0,11.45616923420702,94482.43604096856,13.61056018623562,0.4410236179828644,0.23700879231645228,1.0257088844394224,1.1585349460121555,1.3643500752370816,1.182864635229553,1.0,,1.8881999999999999,,-0.938,,1.0,1960,0.10397062391508417,0.012874312407457001,0.03296983725077318,0.4379064260075806,0.15788622868684796,0.178138768799922,0.15788622868684796,,9.008502553597582,,,0
ARG,1968,Argentina,0.113,0.043,0.153,-1.116,0.269,1.604,0.365,0.094,-0.553,-1.232,-2.315,0.0,0.106,0.086,0.36,0.164,0.791,0.0,0.0,5.0,-0.495,0.0,0.9,0.43,0.887,1.116,0.731,1.604,0.0,0.0,0.0,1.0,0.0,0,0.0,,0,0,0.0,0.0,822198.125,149957.953125,8.44360637664795,0.4410236179828644,345067.46875,23.181155920945006,2.048776865005493,0.03286905586719513,0.12597589194774628,1.1596349477767944,,13.5535162525852,0.905895163072807,0.645334987792454,,195305461613.156,8436.30856351031,29982954766.1719,,,36.1962188354532,1.68571428571429,23150583.0,,,11.8881648852942,,77.5713473655565,,,,,,,,,,,,,,,,13.01368804130165,35.9,37.9,,,2.15,2.94,,,,,,,,,,,,,,,,,,,8.9,77.4,108.0,822198.125,8.44360637664795,0.4410236179828644,0.0,11.486327159821899,97375.23142645675,13.01368804130165,0.4410236179828644,0.23700879231645228,1.4375019604400692,1.1585349460121555,1.2772022805691532,1.2910797290071259,1.0,,1.8847999999999998,,-0.938,,1.0,1960,0.10397062391508417,0.012874312407457001,0.03296983725077318,0.4376444341671639,0.15788622868684796,0.178138768799922,0.15788622868684796,,9.040300117922431,,,0
ARG,1969,Argentina,0.068,0.02,0.097,-1.116,0.285,1.604,0.365,0.094,-0.553,-2.074,-2.315,0.0,0.108,0.084,0.346,0.17,0.791,0.0,0.0,5.0,0.173,0.0,0.9,0.43,0.9319999999999999,1.116,0.7150000000000001,1.604,0.0,0.0,0.0,1.0,0.0,0,0.0,,0,0,0.0,0.0,871081.875,158988.828125,8.547143936157227,0.4410236179828644,376695.96875,23.519509487053927,2.061934232711792,0.032900091260671616,0.14266757667064667,1.2159934043884277,,11.5867697649755,0.358795437503231,0.51577515245482,,214210104570.482,9111.9459748551,36824609328.9495,,,36.6454303394205,1.9375,23508711.0,,,12.7974266330598,,78.197470687794,,,,,,,,,,,,,,,,12.84961704766495,35.9,37.9,,,2.02,2.85,,,,,,,,,,,,,,,,,,,8.3,82.4,106.2,871081.875,8.547143936157227,0.4410236179828644,0.0,11.531894067975598,101914.96498789935,12.84961704766495,0.4410236179828644,0.23700879231645228,1.57683044480119,1.1585349460121555,1.2214276919816793,1.3189310275983417,1.0,,1.8878,,-0.495,,1.0,1960,0.10397062391508417,0.012874312407457001,0.03296983725077318,0.4306395119542987,0.15788622868684796,0.178138768799922,0.15788622868684796,,9.117341576098807,,,0
