Variable,N,Countries,Mean,SD,Min,Max,Within_SD
Physical repression (1 - v2x_clphy),630,18,0.24724126984126985,0.2098594628806314,0.018000000000000016,0.959,0.14212891532488586
CSO repression (-v2csreprss),630,18,-1.4209666666666667,1.0779379672357157,-3.202,3.146,0.7679849518739231
Expression repression,630,18,0.21394920634920633,0.15993883158362676,0.025000000000000022,0.978,0.12030479763255096
Political Terror Scale (mean),630,18,2.6825396825396823,0.9808330449334698,1.0,5.0,0.5453561953130458
Mass mobilization (V-Dem),630,18,0.33897301587301587,1.09034968832568,-3.141,3.795,0.7833106436069392
Protest events (MMP),558,18,4.028673835125448,4.207700305951003,0.0,26.0,3.58624877638109
Labour share,616,18,0.4874016108595341,0.07729307159389567,0.26878483049062657,0.6811813712120056,0.04863282422172282
log capital per worker,630,18,11.270129362923702,0.6657582805845074,9.631416778092722,12.675659032703717,0.2081635584566954
Capital per worker (2017 US$),630,18,95698.38823972143,57983.85615250488,15236.00686373159,319866.51038757636,27385.82760076164
Robot import-value stock per worker (2015 US$),522,18,2.1693818700143765,4.077964453178218,0.0,24.522689525697594,2.291157315729474
Routine occupation share,423,18,0.2825340512567862,0.048255699733149506,0.12374514252821427,0.4650481980033129,0.032129447952349205
Absolute redistribution (Gini pts),606,18,2.8219471947194723,3.294678429563618,-3.2,15.0,1.077152248441039
"Social expenditure, % GDP",554,18,9.577689664265343,3.3713947598689447,2.56250399,24.9217198,2.2577004826031266
"Tax revenue, % GDP",584,18,12.779915924657535,3.257178267495783,4.3275,22.1216,2.1746092247438926
Democracy (RoW >= 2),630,18,0.8253968253968254,0.3799289758612363,0.0,1.0,0.32025994438611377
Successful coup,630,18,0.0015873015873015873,0.03984095364447979,0.0,1.0,0.03929887459459297
Coup attempt,630,18,0.014285714285714285,0.11876034686027541,0.0,1.0,0.11673505236475402
log GDP per capita,630,18,8.544528491616955,0.6775577106617873,6.126827786079542,9.853462949157347,0.2698507744675311
"Resource rents, % GDP",569,18,4.044643051117321,4.822231443691972,0.0227890061773118,29.2548511239111,2.4748310241956992
"Military expenditure, % GDP",561,17,1.4816301298352246,0.8248951277781459,0.150853892569221,4.44539325396431,0.4413673741896834
Commodity price instrument,630,18,1.1235353962477936,0.9676147987660954,0.17722462615411527,4.152588797451007,0.1499521883983772
Robot shift-share instrument,522,18,0.18434947028844156,0.0871543243413435,0.03378267599169726,0.4058977679811036,0.07923397025490742
