iso3,slope_labsh_on_k,n
ARG,0.5383226320871242,35
BOL,-0.10998484879641358,35
BRA,0.158879484365178,35
CHL,-0.06785421014734594,35
COL,0.03429073093040713,35
CRI,-0.004024865351539776,35
DOM,-0.30336043252916156,35
ECU,-0.2537947383848033,35
GTM,-0.22154210964314294,35
HND,-0.04940383640018694,35
MEX,-0.2333069035237161,35
NIC,-0.02517928870913425,35
PAN,-0.1412610189554399,35
PER,-0.008975838630953211,35
PRY,-0.02548934603784518,35
SLV,0.01673754892465554,21
URY,-0.0954407021308492,35
VEN,0.14151904898964493,35
