row,outcome,mean pre (t-6..t-2),t-6,t-3,t+2,events
Successful coup (1960-2024),log K/L,not estimated,not estimated,not estimated,not estimated,Only 2 eligible event countries; inference withheld
Successful coup (1960-2024),log robots per worker,not estimated,not estimated,not estimated,not estimated,Only 0 eligible event countries; inference withheld
Successful coup (1960-2024),labour share,not estimated,not estimated,not estimated,not estimated,Only 2 eligible event countries; inference withheld
Successful coup (1960-2024),tax revenue % GDP,not estimated,not estimated,not estimated,not estimated,Only 2 eligible event countries; inference withheld
Successful coup (1960-2024),redistribution,not estimated,not estimated,not estimated,not estimated,Only 0 eligible event countries; inference withheld
Successful coup (1960-2024),physical repression,not estimated,not estimated,not estimated,not estimated,Only 3 eligible event countries; inference withheld
Autocratization onset (1990-2024),log K/L,0.077,0.114 (0.031),0.057 (0.018),-0.072 (0.026),9
Autocratization onset (1990-2024),log robots per worker,0.036,-0.016 (0.094),0.077 (0.039),-0.104 (0.069),7
Autocratization onset (1990-2024),labour share,-0.015,-0.028 (0.021),-0.006 (0.008),0.013 (0.013),9
Autocratization onset (1990-2024),tax revenue % GDP,-0.073,1.364 (2.033),-0.785 (0.510),0.188 (0.626),9
Autocratization onset (1990-2024),redistribution,-0.013,-0.060 (0.229),0.006 (0.084),0.264 (0.135),8
Autocratization onset (1990-2024),physical repression,-0.006,-0.000 (0.016),-0.004 (0.013),-0.001 (0.017),9
