iso3,country,year,e_pt_coup,coup,e_pt_coup_attempts,v2x_regime_l1,prior_regime,multiparty_l1,dem_l1,v2x_polyarchy_l1,k_l1,k_available_l1,k_extended_l1,tax_any_l1,tax_available_l1,tax_source_l1,controls_available,h4_column1_eligible,h4_column2_eligible,h4_column3_eligible,actor_classification
SLV,El Salvador,1960,1.0,1.0,1.0,,unavailable,,,,,False,,,False,,False,False,False,False,unclassified: no event-actor attribution in archived panel
ECU,Ecuador,1961,1.0,1.0,1.0,1.0,electoral autocracy,1.0,0.0,0.359,11.5100843317984,True,0.0,9.639321327209473,True,Andersson-Brambor,True,True,True,True,unclassified: no event-actor attribution in archived panel
SLV,El Salvador,1961,1.0,1.0,1.0,1.0,electoral autocracy,1.0,0.0,0.177,,False,0.0,,False,unavailable,False,False,False,False,unclassified: no event-actor attribution in archived panel
ARG,Argentina,1962,1.0,1.0,3.0,1.0,electoral autocracy,1.0,0.0,0.494,11.27889058981344,True,0.0,14.02511643357512,True,Andersson-Brambor,True,True,True,True,unclassified: no event-actor attribution in archived panel
PER,Peru,1962,1.0,1.0,1.0,1.0,electoral autocracy,1.0,0.0,0.357,10.429882930840256,True,0.0,17.21279907226563,True,Andersson-Brambor,True,True,True,True,unclassified: no event-actor attribution in archived panel
DOM,Dominican Republic,1963,1.0,1.0,1.0,1.0,electoral autocracy,1.0,0.0,0.169,10.58685379509927,True,0.0,,False,unavailable,True,True,False,False,unclassified: no event-actor attribution in archived panel
ECU,Ecuador,1963,1.0,1.0,1.0,1.0,electoral autocracy,1.0,0.0,0.365,11.57109149127444,True,0.0,10.0782413482666,True,Andersson-Brambor,True,True,True,True,unclassified: no event-actor attribution in archived panel
GTM,Guatemala,1963,1.0,1.0,1.0,0.0,closed autocracy,0.0,0.0,0.156,10.31339172461431,True,0.0,,False,unavailable,True,False,False,False,unclassified: no event-actor attribution in archived panel
HND,Honduras,1963,1.0,1.0,1.0,0.0,closed autocracy,0.0,0.0,0.181,,False,0.0,,False,unavailable,True,False,False,False,unclassified: no event-actor attribution in archived panel
PER,Peru,1963,1.0,1.0,1.0,1.0,electoral autocracy,1.0,0.0,0.278,10.464509627957655,True,0.0,16.76289939880371,True,Andersson-Brambor,True,True,True,True,unclassified: no event-actor attribution in archived panel
BOL,Bolivia,1964,1.0,1.0,1.0,1.0,electoral autocracy,1.0,0.0,0.255,9.995625868536122,True,0.0,7.777196884155273,True,Andersson-Brambor,True,True,True,True,unclassified: no event-actor attribution in archived panel
BRA,Brazil,1964,2.0,1.0,2.0,1.0,electoral autocracy,1.0,0.0,0.405,10.642255266114477,True,0.0,6.547085285186768,True,Andersson-Brambor,True,True,True,True,unclassified: no event-actor attribution in archived panel
DOM,Dominican Republic,1965,1.0,1.0,2.0,0.0,closed autocracy,0.0,0.0,0.154,10.600336700427338,True,0.0,,False,unavailable,True,False,False,False,unclassified: no event-actor attribution in archived panel
ARG,Argentina,1966,1.0,1.0,1.0,2.0,electoral democracy,1.0,1.0,0.527,11.40401467821288,True,0.0,10.72032863118482,True,Andersson-Brambor,True,True,True,True,unclassified: no event-actor attribution in archived panel
ECU,Ecuador,1966,1.0,1.0,1.0,0.0,closed autocracy,0.0,0.0,0.136,11.641852622150104,True,0.0,9.65217399597168,True,Andersson-Brambor,True,False,False,False,unclassified: no event-actor attribution in archived panel
PAN,Panama,1968,1.0,1.0,1.0,1.0,electoral autocracy,1.0,0.0,0.323,,False,0.0,,False,unavailable,True,False,False,False,unclassified: no event-actor attribution in archived panel
PER,Peru,1968,1.0,1.0,1.0,1.0,electoral autocracy,1.0,0.0,0.406,10.619775810687768,True,0.0,15.29640007019043,True,Andersson-Brambor,True,True,True,True,unclassified: no event-actor attribution in archived panel
