specification,iso3,year
commodity_repression,ARG,1990
commodity_repression,ARG,1991
commodity_repression,ARG,1992
commodity_repression,ARG,1993
commodity_repression,ARG,1994
commodity_repression,ARG,1995
commodity_repression,ARG,1996
commodity_repression,ARG,1997
commodity_repression,ARG,1998
commodity_repression,ARG,1999
commodity_repression,ARG,2000
commodity_repression,ARG,2001
commodity_repression,ARG,2002
commodity_repression,ARG,2003
commodity_repression,ARG,2004
commodity_repression,ARG,2005
commodity_repression,ARG,2006
commodity_repression,ARG,2007
commodity_repression,ARG,2008
commodity_repression,ARG,2009
commodity_repression,ARG,2010
commodity_repression,ARG,2011
commodity_repression,ARG,2012
commodity_repression,ARG,2013
commodity_repression,ARG,2014
commodity_repression,ARG,2015
commodity_repression,ARG,2016
commodity_repression,ARG,2017
commodity_repression,ARG,2018
commodity_repression,ARG,2019
commodity_repression,ARG,2020
commodity_repression,ARG,2021
commodity_repression,BOL,1990
commodity_repression,BOL,1991
commodity_repression,BOL,1992
commodity_repression,BOL,1993
commodity_repression,BOL,1994
commodity_repression,BOL,1995
commodity_repression,BOL,1996
commodity_repression,BOL,1997
commodity_repression,BOL,1998
commodity_repression,BOL,1999
commodity_repression,BOL,2000
commodity_repression,BOL,2001
commodity_repression,BOL,2002
commodity_repression,BOL,2003
commodity_repression,BOL,2004
commodity_repression,BOL,2005
commodity_repression,BOL,2006
commodity_repression,BOL,2007
commodity_repression,BOL,2008
commodity_repression,BOL,2009
commodity_repression,BOL,2010
commodity_repression,BOL,2011
commodity_repression,BOL,2012
commodity_repression,BOL,2013
commodity_repression,BOL,2014
commodity_repression,BOL,2015
commodity_repression,BOL,2016
commodity_repression,BOL,2017
commodity_repression,BOL,2018
commodity_repression,BOL,2019
commodity_repression,BOL,2020
commodity_repression,BOL,2021
commodity_repression,BRA,1990
commodity_repression,BRA,1991
commodity_repression,BRA,1992
commodity_repression,BRA,1993
commodity_repression,BRA,1994
commodity_repression,BRA,1995
commodity_repression,BRA,1996
commodity_repression,BRA,1997
commodity_repression,BRA,1998
commodity_repression,BRA,1999
commodity_repression,BRA,2000
commodity_repression,BRA,2001
commodity_repression,BRA,2002
commodity_repression,BRA,2003
commodity_repression,BRA,2004
commodity_repression,BRA,2005
commodity_repression,BRA,2006
commodity_repression,BRA,2007
commodity_repression,BRA,2008
commodity_repression,BRA,2009
commodity_repression,BRA,2010
commodity_repression,BRA,2011
commodity_repression,BRA,2012
commodity_repression,BRA,2013
commodity_repression,BRA,2014
commodity_repression,BRA,2015
commodity_repression,BRA,2016
commodity_repression,BRA,2017
commodity_repression,BRA,2018
commodity_repression,BRA,2019
commodity_repression,BRA,2020
commodity_repression,BRA,2021
commodity_repression,CHL,1990
commodity_repression,CHL,1991
commodity_repression,CHL,1992
commodity_repression,CHL,1993
commodity_repression,CHL,1994
commodity_repression,CHL,1995
commodity_repression,CHL,1996
commodity_repression,CHL,1997
commodity_repression,CHL,1998
commodity_repression,CHL,1999
commodity_repression,CHL,2000
commodity_repression,CHL,2001
commodity_repression,CHL,2002
commodity_repression,CHL,2003
commodity_repression,CHL,2004
commodity_repression,CHL,2005
commodity_repression,CHL,2006
commodity_repression,CHL,2007
commodity_repression,CHL,2008
commodity_repression,CHL,2009
commodity_repression,CHL,2010
commodity_repression,CHL,2011
commodity_repression,CHL,2012
commodity_repression,CHL,2013
commodity_repression,CHL,2014
commodity_repression,CHL,2015
commodity_repression,CHL,2016
commodity_repression,CHL,2017
commodity_repression,CHL,2018
commodity_repression,CHL,2019
commodity_repression,CHL,2020
commodity_repression,CHL,2021
commodity_repression,COL,1990
commodity_repression,COL,1991
commodity_repression,COL,1992
commodity_repression,COL,1993
commodity_repression,COL,1994
commodity_repression,COL,1995
commodity_repression,COL,1996
commodity_repression,COL,1997
commodity_repression,COL,1998
commodity_repression,COL,1999
commodity_repression,COL,2000
commodity_repression,COL,2001
commodity_repression,COL,2002
commodity_repression,COL,2003
commodity_repression,COL,2004
commodity_repression,COL,2005
commodity_repression,COL,2006
