block,specification,variable,b,se,p,n,countries,first_year,last_year,lower,upper,within_variance,between_variance,df,imputations
h1_common,PWT/ILO: capital: available,k_l1,-0.09392857993109112,0.05076008495462137,0.08170771150147739,555,18,1990,2021,,,,,,
h1_common,PWT/ILO: capital: common,k_l1,-0.06241944540972527,0.032966495651731785,0.07545090430701934,270,18,2004,2021,,,,,,
h1_common,PWT/ILO: capital + robots: available,k_l1,-0.11250454628246609,0.05322802144406518,0.04963110163867979,436,18,1997,2021,,,,,,
h1_common,PWT/ILO: capital + robots: common,k_l1,-0.08097830469345738,0.038218593753665764,0.049134062299677636,270,18,2004,2021,,,,,,
h1_common,PWT/ILO: capital + routine: available,k_l1,-0.10480255827491325,0.04610932445208757,0.03629375911104162,349,18,1991,2021,,,,,,
h1_common,PWT/ILO: capital + routine: common,k_l1,-0.05249948001970532,0.02984257880612303,0.09652494114681046,270,18,2004,2021,,,,,,
h1_common,ILO: capital + robots: available,k_l1,-0.07364050252381175,0.04460022046329511,0.1170638937780404,317,18,2004,2021,,,,,,
h1_common,ILO: capital + robots: common,k_l1,-0.06903395415964939,0.04970312377508014,0.18278386254747203,270,18,2004,2021,,,,,,
h2_common,Physical: mobilization threat: available,k_l1,-0.0022565874848985918,0.02138373433700097,0.9182712493353931,236,10,1990,2021,,,,,,
h2_common,Physical: mobilization threat: common,k_l1,-0.0022565874848985918,0.02138373433700097,0.9182712493353931,236,10,1990,2021,,,,,,
h2_common,Physical: anti-system threat: available,k_l1,0.028339431013982813,0.07607792788358944,0.7144048672188893,506,17,1990,2021,,,,,,
h2_common,Physical: anti-system threat: common,k_l1,0.008306701487167445,0.026259408207226286,0.7589638210515453,236,10,1990,2021,,,,,,
h2_common,CSO: anti-system threat: available,k_l1,-0.4992144551492498,0.7789472508135193,0.5306714765932222,506,17,1990,2021,,,,,,
h2_common,CSO: anti-system threat: common,k_l1,-0.3303938284355561,0.5583573212253772,0.5685986150190082,236,10,1990,2021,,,,,,
h2_common,PTS: anti-system threat: available,k_l1,0.3653956501024415,0.22659367813208847,0.12638765964571955,506,17,1990,2021,,,,,,
h2_common,PTS: anti-system threat: common,k_l1,0.6833944880804541,0.40803027096591216,0.1282832481160402,236,10,1990,2021,,,,,,
h2_common,Composite: anti-system threat: available,k_l1,-0.20405611627703965,0.32957753784385146,0.5445369594964412,506,17,1990,2021,,,,,,
h2_common,Composite: anti-system threat: common,k_l1,-0.1596606013222766,0.18587592000436973,0.412653338641628,236,10,1990,2021,,,,,,
robot,"Zero fill, initial zero, 10% depreciation",robot_base_l1,0.019269137311120864,0.01248697324162077,0.14120663513698792,436,18,1997,2021,,,,,,
robot_capital,"Zero fill, initial zero, 10% depreciation",k_l1,-0.11250454628246609,0.05322802144406518,0.04963110163867979,436,18,1997,2021,,,,,,
robot,"Interpolate internal gaps, edge gaps zero",robot_interior_interpolation_l1,0.01817051177186512,0.012511557895959029,0.16462613439317675,436,18,1997,2021,,,,,,
robot_capital,"Interpolate internal gaps, edge gaps zero",k_l1,-0.11086698163872533,0.053039816053012084,0.051928934568168626,436,18,1997,2021,,,,,,
robot,"Zero fill, initial zero, 5% depreciation",robot_depreciation05_l1,0.019659566071011807,0.013099655554821999,0.15175944064037805,436,18,1997,2021,,,,,,
robot_capital,"Zero fill, initial zero, 5% depreciation",k_l1,-0.11163565306840603,0.053135707967828696,0.050865871692254254,436,18,1997,2021,,,,,,
robot,"Zero fill, initial zero, 15% depreciation",robot_depreciation15_l1,0.01825703456848455,0.011819490209288975,0.1408407563750844,436,18,1997,2021,,,,,,
robot_capital,"Zero fill, initial zero, 15% depreciation",k_l1,-0.11261777016115504,0.05322656747890585,0.049421124027137144,436,18,1997,2021,,,,,,
robot,Initial stock = first 3 reported flows / 0.10,robot_initial_stock_l1,0.011609493372709067,0.027543653570760832,0.6786755594701036,436,18,1997,2021,,,,,,
robot_capital,Initial stock = first 3 reported flows / 0.10,k_l1,-0.1049194827560763,0.048738272596653594,0.04599607776807678,436,18,1997,2021,,,,,,
robot,Five latest lagged flows reported,robot_base_l1,0.035837824933714305,0.027229987015116863,0.20560635067941602,255,18,2001,2021,,,,,,
robot_capital,Five latest lagged flows reported,k_l1,-0.09991242007695306,0.07887920875696801,0.2223603943308741,255,18,2001,2021,,,,,,
robot,Outcome years through 2019,robot_base_l1,0.02076376116737802,0.012123884282371364,0.10495799994046048,402,18,1997,2019,,,,,,
robot_capital,Outcome years through 2019,k_l1,-0.126799955345213,0.060588093694739165,0.051672609148775125,402,18,1997,2019,,,,,,
vdem,Basic: Lower repression endpoint,k_l1,-0.02424201919794303,0.07423731955417359,0.7479959897940552,569,18,1990,2021,,,,,,
vdem,Basic: Point estimate,k_l1,-0.02711146117003665,0.07895965428214413,0.7355385192940104,569,18,1990,2021,,,,,,
vdem,Basic: Upper repression endpoint,k_l1,-0.025337681755511616,0.0852638110378342,0.7699386986350476,569,18,1990,2021,,,,,,
vdem,Anti-system threat: Lower repression endpoint,k_l1,0.03471916155581999,0.06938259637667275,0.6236050762143193,506,17,1990,2021,,,,,,
vdem_interaction,Anti-system threat: Lower repression endpoint,k_x_antisys,-0.1907770504336506,0.3038488291738478,0.5389491385137531,506,17,1990,2021,,,,,,
vdem,Anti-system threat: Point estimate,k_l1,0.028339431013982813,0.07607792788358944,0.7144048672188893,506,17,1990,2021,,,,,,
vdem_interaction,Anti-system threat: Point estimate,k_x_antisys,-0.20187222122604212,0.3132177184082614,0.5283771479467793,506,17,1990,2021,,,,,,
vdem,Anti-system threat: Upper repression endpoint,k_l1,0.031502187986108696,0.08287293578506993,0.7088503731438802,506,17,1990,2021,,,,,,
vdem_interaction,Anti-system threat: Upper repression endpoint,k_x_antisys,-0.17525275802283624,0.3354957598891624,0.6085704506671017,506,17,1990,2021,,,,,,
swiid,Redistribution: basic,k_l1,1.20109535396828,1.5212292593266172,0.4548217654685268,553,18,1990,2021,-2.3707994631753806,4.772990171111941,1.1188275892257207,1.1834761091145423,7.252584935653338,100.0
swiid,Redistribution: interaction,k_l1,1.1384354538249235,1.5251038511392343,0.4809866340462728,553,18,1990,2021,-2.508279942726843,4.785150850376691,1.0303442701224825,1.282769788749744,6.636614033471533,100.0
swiid,Redistribution: interaction,rep_phys_l1,-0.14337702192618348,10.844912930100598,0.9897748275552728,553,18,1990,2021,-25.14264251963394,24.855888475781573,62.73216963722455,54.33660081607782,8.016854021741668,100.0
swiid,Redistribution: interaction,k_x_rep,0.7903815350967096,11.032193465195913,0.9446322057425384,553,18,1990,2021,-24.618170859175752,26.198933929369172,65.24169517877264,55.90851235122651,8.05780352973019,100.0
swiid,Redistribution: interaction,Repression at median capital,0.6595945779742,0.5758099136594667,0.27939269564522234,553,18,1990,2021,-0.6282377216687464,1.9474268776171462,0.21350638939910382,0.11688184878160746,9.729693348852322,100.0
swiid,Relative choice: anti-system,k_l1,-0.1966470845239615,0.6211340749075357,0.7586660272097536,493,17,1990,2021,-1.5985539025184412,1.2052597334705184,0.2491158034512908,0.1353383520395538,9.136613087744811,100.0
observed_window,H1a labour share: 1990-2024,k_l1,-0.09392857993109112,0.05076008495462137,0.08170771150147739,555,18,1990,2021,,,,,,
observed_window,H1a labour share: 1990-2019,k_l1,-0.10115154592230799,0.05623841071450405,0.08985808253663195,521,18,1990,2019,,,,,,
observed_window,H2 physical repression: 1990-2024,k_l1,-0.02711146117003665,0.07895965428214413,0.7355385192940104,569,18,1990,2021,,,,,,
observed_window,H2 physical repression: 1990-2019,k_l1,-0.019275749068030208,0.07091164080972515,0.789028140584028,535,18,1990,2019,,,,,,
observed_window,H2 redistribution: 1990-2024,k_l1,1.041941998153444,0.5222419088555142,0.06231233820989237,553,18,1990,2021,,,,,,
observed_window,H2 redistribution: 1990-2019,k_l1,1.35843066058256,0.5630831947936323,0.027424465282623513,521,18,1990,2019,,,,,,
