iso3,country,year,summary_abs_red,draw_mean_abs_red,available_draws,mean_minus_summary,absolute_difference
ARG,Argentina,1990,2.0,0.3279254913330078,100,-1.6720745086669921,1.6720745086669921
ARG,Argentina,1991,2.2,0.7650079727172852,100,-1.434992027282715,1.434992027282715
ARG,Argentina,1992,2.4,0.9727708435058594,100,-1.4272291564941404,1.4272291564941404
ARG,Argentina,1993,2.5,0.9522717666625976,100,-1.5477282333374025,1.5477282333374025
ARG,Argentina,1994,2.4,0.8108777236938477,100,-1.5891222763061523,1.5891222763061523
ARG,Argentina,1995,2.2,0.750645866394043,100,-1.4493541336059572,1.4493541336059572
ARG,Argentina,1996,2.1,0.42124065399169924,100,-1.6787593460083008,1.6787593460083008
ARG,Argentina,1997,2.0,0.3439617919921875,100,-1.6560382080078124,1.6560382080078124
ARG,Argentina,1998,1.9,0.17685665130615236,100,-1.7231433486938474,1.7231433486938474
ARG,Argentina,1999,1.8,-0.012479515075683593,100,-1.8124795150756836,1.8124795150756836
ARG,Argentina,2000,1.7,-0.015150718688964844,100,-1.7151507186889647,1.7151507186889647
ARG,Argentina,2001,1.5,0.1458396530151367,100,-1.3541603469848633,1.3541603469848633
ARG,Argentina,2002,1.4,0.2446855926513672,100,-1.1553144073486328,1.1553144073486328
ARG,Argentina,2003,1.5,0.34480255126953124,100,-1.1551974487304688,1.1551974487304688
ARG,Argentina,2004,1.8,0.8704157638549804,100,-0.9295842361450196,0.9295842361450196
ARG,Argentina,2005,2.0,0.8959643173217774,100,-1.1040356826782225,1.1040356826782225
ARG,Argentina,2006,2.1,0.7185322570800782,100,-1.3814677429199218,1.3814677429199218
ARG,Argentina,2007,2.3,1.042650909423828,100,-1.2573490905761717,1.2573490905761717
ARG,Argentina,2008,2.5,1.0355102920532226,100,-1.4644897079467774,1.4644897079467774
ARG,Argentina,2009,2.4,1.1867918014526366,100,-1.2132081985473633,1.2132081985473633
ARG,Argentina,2010,2.5,1.3639633178710937,100,-1.1360366821289063,1.1360366821289063
ARG,Argentina,2011,2.6,1.2908293914794922,100,-1.309170608520508,1.309170608520508
ARG,Argentina,2012,2.7,1.5600768280029298,100,-1.1399231719970704,1.1399231719970704
ARG,Argentina,2013,2.6,1.4069017791748046,100,-1.1930982208251955,1.1930982208251955
ARG,Argentina,2014,2.6,1.3258886337280273,100,-1.2741113662719727,1.2741113662719727
ARG,Argentina,2015,2.6,1.2694103622436523,100,-1.3305896377563478,1.3305896377563478
ARG,Argentina,2016,2.5,1.1825588989257811,100,-1.3174411010742189,1.3174411010742189
ARG,Argentina,2017,2.4,0.8355689239501953,100,-1.5644310760498046,1.5644310760498046
ARG,Argentina,2018,2.2,0.5515229415893554,100,-1.6484770584106447,1.6484770584106447
ARG,Argentina,2019,2.0,0.4983740234375,100,-1.5016259765625,1.5016259765625
ARG,Argentina,2020,1.9,0.6067052459716797,100,-1.2932947540283202,1.2932947540283202
ARG,Argentina,2021,1.9,0.8503448295593262,100,-1.0496551704406736,1.0496551704406736
ARG,Argentina,2022,1.9,1.1262832641601563,100,-0.7737167358398436,0.7737167358398436
ARG,Argentina,2023,1.8,1.046481590270996,100,-0.753518409729004,0.753518409729004
ARG,Argentina,2024,1.6,0.8335779762268066,100,-0.7664220237731935,0.7664220237731935
BOL,Bolivia,1992,-1.2,-1.2270145034790039,100,-0.027014503479003915,0.027014503479003915
BOL,Bolivia,1993,-1.5,-1.4486276626586914,100,0.05137233734130864,0.05137233734130864
BOL,Bolivia,1994,-1.8,-1.8607357025146485,100,-0.06073570251464844,0.06073570251464844
BOL,Bolivia,1995,-2.0,-1.92759090423584,100,0.0724090957641601,0.0724090957641601
BOL,Bolivia,1996,-2.1,-2.1324707794189455,100,-0.032470779418945384,0.032470779418945384
BOL,Bolivia,1997,-2.3,-2.605023536682129,100,-0.3050235366821292,0.3050235366821292
BOL,Bolivia,1998,-2.6,-2.8007155990600587,100,-0.20071559906005865,0.20071559906005865
BOL,Bolivia,1999,-2.9,-3.0843010711669923,100,-0.18430107116699235,0.18430107116699235
BOL,Bolivia,2000,-3.2,-3.220939750671387,100,-0.020939750671386648,0.020939750671386648
BOL,Bolivia,2001,-3.0,-2.877856521606445,100,0.12214347839355488,0.12214347839355488
BOL,Bolivia,2002,-3.1,-2.827637405395508,100,0.2723625946044921,0.2723625946044921
BOL,Bolivia,2003,-3.0,-2.842913475036621,100,0.15708652496337905,0.15708652496337905
