Source,Version,Licence
V-Dem Country-Year v16 (vdemdata R package),16.0,CC BY-SA 4.0 (V-Dem data policy)
Episodes of Regime Transformation (ERT) v16,16,CC BY-SA 4.0
Penn World Table 10.01,10.01 (DataverseNL file 354098),CC BY 4.0
"UN Comtrade, HS 847950 industrial robots, imports, public preview API",pull 2026-09,UN Comtrade terms of use (free public data)
World Bank World Development Indicators API v2,pull 2026-09,CC BY 4.0
Political Terror Scale 1976-2024,PTS-2025,free for academic use
"Freedom House, Freedom in the World country ratings 1973-2024",FIW 2024 file,free for non-commercial use
Mass Mobilization Project 1990-2020,v5 (mmALL_073120),CC0
Standardized World Income Inequality Database 9.92,9.92 (2026-04),CC0
CEPALSTAT API v1,pull 2026-09,ECLAC open data
ILOSTAT SDMX REST API,pull 2026-09,ILO open data
"Andersson \& Brambor, Financing the State v3","2026, govrev_v3.csv",authors' terms
World Bank Commodity Price Data (Pink Sheet),September 2026,CC BY 4.0
